Name,Symbol,Price,Market Cap,Timestamp,high_24h,low_24h
Bitcoin,BTC,66838.0,1313991973317,1713914288.875,67132.0,65889.0
Ethereum,ETH,3250.82,396086343155,1713914276.205,3261.41,3153.78
Tether,USDT,1.0,110481295764,1713914128.735,1.002,0.999105
BNB,BNB,605.79,93112433762,1713914290.834,611.77,600.12
Solana,SOL,157.92,70485325663,1713914276.33,159.86,153.35
USDC,USDC,1.001,33653147153,1713914289.393,1.002,0.998406
Lido Staked Ether,STETH,3247.63,30277424418,1713914273.048,3252.57,3152.67
XRP,XRP,0.549111,30239941768,1713914289.178,0.554334,0.541886
Dogecoin,DOGE,0.162098,23299084560,1713914281.48,0.163489,0.157092
Toncoin,TON,5.84,20206156394,1713914285.842,5.83,5.48
Cardano,ADA,0.504911,17754265056,1713914289.286,0.519828,0.498985
Shiba Inu,SHIB,2.723e-05,16024446799,1713914281.241,2.792e-05,2.625e-05
Avalanche,AVAX,39.36,14821683620,1713914287.775,39.29,38.03
Wrapped Bitcoin,WBTC,66846.0,10370969740,1713914287.295,67122.0,65952.0
Bitcoin Cash,BCH,509.17,10007229069,1713914274.737,514.99,503.38
TRON,TRX,0.113663,9947890007,1713914282.442,0.113712,0.111582
Polkadot,DOT,7.34,9928432358,1713914286.778,7.53,7.23
Chainlink,LINK,15.42,9033232275,1713914283.609,15.57,15.12
NEAR Protocol,NEAR,6.94,7348378808,1713914285.057,7.25,6.86
Polygon,MATIC,0.751264,6945142717,1713914290.118,0.749032,0.724078
Internet Computer,ICP,14.76,6799774081,1713914268.481,15.03,14.37
Litecoin,LTC,86.31,6421090692,1713914280.237,86.35,84.2
Hedera,HBAR,0.174527,6222322965,1713914290.32,0.183272,0.087479
Uniswap,UNI,8.11,6095689914,1713914287.826,8.33,7.92
LEO Token,LEO,5.75,5322172545,1713914281.848,5.77,5.73
Dai,DAI,0.999771,5248946339,1713914124.598,1.004,0.998551
Aptos,APT,9.81,4170742022,1713914279.752,10.04,9.63
Stacks,STX,2.87,4160984843,1713914290.305,3.13,2.86
Ethereum Classic,ETC,28.32,4147692376,1713914289.275,28.43,27.79
First Digital USD,FDUSD,1.003,3892687651,1713914279.438,1.012,0.996671
Mantle,MNT,1.16,3781737001,1713914288.15,1.21,1.16
Cronos,CRO,0.132878,3516396282,1713914286.146,0.132822,0.130013
Render,RNDR,9.12,3498271887,1713914284.588,9.6,8.89
Filecoin,FIL,6.4,3466151064,1713914286.839,6.59,6.33
Stellar,XLM,0.119079,3440252924,1713914284.852,0.118961,0.115528
Immutable,IMX,2.36,3429982098,1713914284.758,2.43,2.33
Cosmos Hub,ATOM,8.79,3422442189,1713914290.732,9.07,8.66
Pepe,PEPE,8.03e-06,3378914156,1713914284.591,8.15e-06,6.68e-06
OKB,OKB,55.41,3319136784,1713914286.061,56.72,54.61
dogwifhat,WIF,3.33,3316385896,1713914287.929,3.33,2.75
Bittensor,TAO,494.61,3275650592,1713914288.646,525.45,491.83
Renzo Restaked ETH,EZETH,3176.28,3166526272,1713914282.106,3276.4,2728.1
Arbitrum,ARB,1.19,3155881389,1713914288.03,1.21,1.17
VeChain,VET,0.04273895,3106344149,1713914291.08,0.0427212,0.04148077
XT.com,XT,3.05,3049853408,1713914259.312,3.12,3.02
Kaspa,KAS,0.1288,2965106944,1713914290.162,0.132624,0.125341
The Graph,GRT,0.294697,2791493830,1713914280.112,0.304674,0.290925
Maker,MKR,2947.86,2720940973,1713914282.745,2955.42,2812.76
Optimism,OP,2.56,2671969065,1713914288.855,2.56,2.47
Wrapped eETH,WEETH,3363.0,2578272683,1713914282.556,3373.7,3269.58
Fetch.ai,FET,2.48,2577065997,1713914281.795,2.54,2.4
Injective,INJ,28.44,2549827566,1713914279.527,28.74,27.63
Theta Network,THETA,2.42,2415786376,1713914286.048,2.45,2.34
Ethena USDe,USDE,0.999854,2371224500,1713914252.485,1.002,0.994165
Core,CORE,2.55,2252399230,1713914280.341,2.67,2.49
Monero,XMR,121.8,2207996498,1713914285.816,123.91,120.64
Arweave,AR,33.5,2190775114,1713914288.2,35.38,33.43
Celestia,TIA,11.95,2133772995,1713914286.806,12.15,10.89
Fantom,FTM,0.755513,2111638765,1713914287.28,0.768119,0.724305
FLOKI,FLOKI,0.00020294,1960429732,1713914284.062,0.00020324,0.00016939
THORChain,RUNE,5.82,1945500413,1713914290.44,5.85,5.49
Lido DAO,LDO,2.14,1904508978,1713914288.089,2.15,2.1
Rocket Pool ETH,RETH,3583.92,1856146414,1713914202.051,3592.21,3486.49
GALA,GALA,0.05171,1798126766,1713914286.455,0.052401,0.0480899
Sei,SEI,0.642287,1795663655,1713914290.953,0.67572,0.634725
Algorand,ALGO,0.228002,1795596261,1713914280.38,0.228675,0.190195
Bonk,BONK,2.693e-05,1778888229,1713914290.644,2.742e-05,1.996e-05
Bitget Token,BGB,1.23,1727318343,1713914289.959,1.27,1.23
Sui,SUI,1.33,1721787012,1713914288.062,1.38,1.31
Quant,QNT,114.58,1661369947,1713914280.875,114.25,105.84
Jupiter,JUP,1.2,1613977475,1713914276.197,1.2,1.14
Mantle Staked Ether,METH,3323.35,1603498172,1713914251.701,3329.36,3226.68
Beam,BEAM,0.03031852,1601490225,1713914291.574,0.03287269,0.02917671
Zebec Protocol,ZBC,0.02932859,1491543083,1713914238.895,0.03655692,0.02874535
Flow,FLOW,0.978098,1452602065,1713914291.522,0.976981,0.935741
WhiteBIT Coin,WBT,9.95,1432600447,1713914276.301,10.22,9.91
Aave,AAVE,96.22,1420958412,1713914280.444,96.52,93.79
Bitcoin SV,BSV,71.97,1413116585,1713914284.663,72.47,70.46
Ethena,ENA,0.953415,1353858153,1713914282.475,1.013,0.930192
NEO,NEO,18.75,1317475221,1713914286.083,20.14,18.51
SingularityNET,AGIX,1.015,1299368720,1713914280.982,1.038,0.978438
BitTorrent,BTT,1.33e-06,1285596300,1713914287.206,1.34e-06,1.3e-06
ether.fi Staked ETH,EETH,3241.71,1255275970,1713914150.099,3248.22,3153.43
Flare,FLR,0.03227857,1243457476,1713914285.17,0.03290621,0.03182639
Akash Network,AKT,5.46,1242749097,1713914283.346,6.74,4.01
Ondo,ONDO,0.863818,1237657570,1713914280.198,0.859295,0.762421
dYdX,DYDX,2.41,1201960171,1713914290.865,2.42,2.33
MultiversX,EGLD,44.7,1196415433,1713914289.476,45.12,43.82
NetMind Token,NMT,7.99,1178102828,1713914253.44,8.05,7.49
Ribbon Finance,RBN,1.18,1151054148,1713914280.246,1.22,1.17
Axie Infinity,AXS,7.83,1121442444,1713914285.444,7.83,7.56
Chiliz,CHZ,0.126995,1116176373,1713914283.943,0.126946,0.11497
The Sandbox,SAND,0.495355,1112279900,1713914282.206,0.496406,0.480149
eCash,XEC,5.516e-05,1084528842,1713914288.92,5.559e-05,5.426e-05
Wormhole,W,0.603439,1083925969,1713914273.285,0.623612,0.58773
Tokenize Xchange,TKX,13.55,1083161551,1713914198.23,13.56,13.11
Ronin,RON,3.41,1074642003,1713914291.8,3.42,3.34
Worldcoin,WLD,5.52,1065446963,1713914289.095,5.86,5.36
Tezos,XTZ,1.076,1051813526,1713914281.438,1.074,1.042
Mina Protocol,MINA,0.955576,1036292677,1713914288.69,0.954705,0.868709
